"id","user_location","user_city","user_country"
1337858199140118528,"YOUR BED",NA,NA
1337841934170255360,"TURKEY-ISRAEL",NA,NA
1337815730486702080,"INDIA",NA,NA
1337769867676704768,"TURKEY-ISRAEL",NA,NA
1337761915087560704,"NOT TODAY",NA,NA
1337734069816348672,"دبي, الامارات العربية المتحدة",NA,NA
1337733927885303808,"USA🇺🇸",NA,NA
1337732996380696576,"USA🇺🇸",NA,NA
1337727767551553536,"EGYPT",NA,NA
1338631874814619648,"INDIA | USA",NA,NA
1338612922600333312,"LI, NYC, NJ, PA, NE, USA",NA,NA
1338574693087936512,"INDIA",NA,NA
1338572466898100224,"NEW JERSEY, USA",NA,NA
1338565402381537280,"LA | OC",NA,NA
1338551175587786752,"INDIA",NA,NA
1338514087005794304,"FRANCE",NA,NA
1338491398379753472,"ALERT,NUNAVUT",NA,NA
1338466008466505728,"INDIA",NA,NA
1338404433852510208,"CYPRUS",NA,NA
1338393910251548672,"UNITED STATES",NA,NA
1338382778572951552,"CYPRUS",NA,NA
1338377471360569344,"INDIA",NA,NA
1338313134092689408,"USA",NA,NA
1338275138895278080,"SATURNALIA TOWN, USA",NA,NA
1338254776384024576,"HRVA",NA,NA
1338229182401220608,"TURKEY-ISRAEL",NA,NA
1338223933993197568,"TURKEY-ISRAEL",NA,NA
1338166530413096960,"OKOLONA, KY",NA,NA
1338143123071971328,"UNITED STATES",NA,NA
1338143061558390784,"UNITED STATES",NA,NA
1338136603038949376,"FRANCE",NA,NA
1338105475447939072,"THE WORLD",NA,NA
1338016390679244800,"INDIA",NA,NA
1337996151828537344,"91/93MILLION MILES FROM THE 🌞",NA,NA
1337992672590618624,"ODISHA, INDIA",NA,NA
1337976993082613760,"SRI LANKA",NA,NA
1337976788551528448,"SRI LANKA",NA,NA
1337967890578993152,"NYC",NA,NA
1337967795364048896,"NYC",NA,NA
1337967722387353600,"NYC",NA,NA
1339087665958891520,"STANDING IN LINE TO VOTE",NA,NA
1339040975386251264,"ÜT: 10.466333,-66.865167",NA,NA
1339033432056217600,"MALAYSIA",NA,NA
1338952370084925440,"PHILIPPINES 🇵🇭",NA,NA
1338950799590875136,"TORFAEN",NA,NA
1338923664033648640,"USA",NA,NA
1338922036610146304,"IRELAND",NA,NA
1338918931080351744,"BKLN | PHL | YYZ | SHJ | HYD",NA,NA
1338908840239144960,"UNITED STATES",NA,NA
1338862629234872320,"FRANCE",NA,NA
1338842046715604992,"UNITED STATES",NA,NA
1338834223734677504,"HERE AND NOW",NA,NA
1338829225579655168,"TURKEY-ISRAEL",NA,NA
1338806437879963648,"BENGALURU SOUTH, INDIA",NA,NA
1338798305271115776,"AUSTRALIA",NA,NA
1338726722963828736,"US - IL - ID",NA,NA
1338698970978164736,"MALAYSIA",NA,NA
1338696748374446080,"INDIA",NA,NA
1338663503339597824,"سیارہ زمین",NA,NA
1338663479608225792,"سیارہ زمین",NA,NA
1338662801972232192,"SRI LANKA",NA,NA
1341717209257816064,"NY",NA,NA
1339416621614395392,"GUAM",NA,NA
1339371452110233600,"MALAYSIA",NA,NA
1339349978574163968,"UK",NA,NA
1339343219167903744,"MALAYSIA",NA,NA
1339336357840375808,"EGYPT",NA,NA
1339328330936422400,"SALISH SEA, B.C.",NA,NA
1339318629427515392,"BELGIUM",NA,NA
1339316643470651392,"NEW JERSEY",NA,NA
1339305268753039360,"INDIA",NA,NA
1339293505345228800,"THE DEEP SOUTH",NA,NA
1339290048882122752,"MOMO SARANGHE JIHYO STEP ON ME",NA,NA
1339259544237604864,"INDIA",NA,NA
1339205808609849344,"NEVER LAND",NA,NA
1339203152864796672,"CONNECTICUT, USA",NA,NA
1339192370680586240,"INDIA",NA,NA
1339182445598568448,"EUROPE",NA,NA
1339176495202242560,"INDIA",NA,NA
1339161321997295616,"TURKEY-ISRAEL",NA,NA
1339145904650133504,"UK",NA,NA
1339124507802365952,"THE LAND  GOVDUNLEAVY FORGOT.",NA,NA
1340958865194688512,"FRANCE",NA,NA
1339850602558484480,"FRANCE",NA,NA
1339839590673346560,"UNITED STATES",NA,NA
1339827791139909632,"ALSACE, FRANCE",NA,NA
1339763049196965888,"MALAYSIA",NA,NA
1339750467702829056,"EWR BUT I'D RATHER BE IN OGG",NA,NA
1339739099205230592,"SOUTHERN CA",NA,NA
1339653395062386688,"UNITED STATES",NA,NA
1339639562163924992,"US 🍎🦞🇺🇸🇫🇷👩🏾‍💻📊⛵️♻️🌊",NA,NA
1339628731774754816,"KÖLN, DEUTSCHLAND",NA,NA
1339579080107151360,"FRANCE",NA,NA
1339499253140320256,"MALAYSIA",NA,NA
1339497596470046720,"FRANCE",NA,NA
1339477267370496000,"BENGALURU, INDIA",NA,NA
1339446545465241600,"GUAM",NA,NA
1339441873685864448,"INDIA",NA,NA
1339441524745138176,"USA",NA,NA
1340314215819726848,"BERKSHIRE",NA,NA
1340266070062624768,"SWITZERLAND",NA,NA
1340262970656321536,"INDIA",NA,NA
1340217437569114112,"WHEREVER I GO, THERE I AM.",NA,NA
1340146172854353920,"INDIA",NA,NA
1340119287361626112,"UNITED STATES",NA,NA
1340086262506680320,"TURKEY-ISRAEL",NA,NA
1340051308368289792,"USA",NA,NA
1340034542405443584,"EVERYWHERE",NA,NA
1340010086874419200,"TURKEY-ISRAEL",NA,NA
1339990007998758912,"CONNECTICUT, USA",NA,NA
1339980489969561600,"TURKEY-ISRAEL",NA,NA
1339977759192453120,"INDIA",NA,NA
1339950066442805248,"KATONAH, NY",NA,NA
1339947759760191488,"ليس مهم",NA,NA
1339939473518448640,"USA",NA,NA
1339886895518519296,"INDIA",NA,NA
1340458612095938560,"USA",NA,NA
1340414605080879104,"FRANCE",NA,NA
1340385843404361728,"WORLD 📢",NA,NA
1340381307847766016,"FRANCE",NA,NA
1340376947575189504,"الرياض - جدة - الأحساء",NA,NA
1340363214115262464,"UNITED STATES",NA,NA
1340357207829794816,"INDIA",NA,NA
1340352405846810624,"MINNESOTA, USA",NA,NA
1340350512449908736,"NETHERLANDS",NA,NA
1340345048618119168,"CYPRUS",NA,NA
1340335856217931776,"UNITED STATES",NA,NA
1340333722185457664,"OMNIVECTOROUS",NA,NA
1340331539272491008,"INDIA | USA",NA,NA
1341497724722667520,"EUROPE,NL",NA,NA
1341461971535765504,"INDIA",NA,NA
1341051595790766080,"MALAYSIA",NA,NA
1341046488965603328,"MALAYSIA",NA,NA
1341039390991257600,"REGGIO NELL'EMILIA, EMILIA ROM",NA,NA
1341035846032617472,"INDIA/MALAYSIA",NA,NA
1341004240798531584,"UNAMA’KI",NA,NA
1340996140737523712,"BENGALURU, INDIA",NA,NA
1340994665206575104,"MALAYSIA",NA,NA
1340986901852024832,"EUROPE",NA,NA
1340986816116256768,"TURKEY-ISRAEL",NA,NA
1340985314244964352,"EGYPT",NA,NA
1340815999633920000,"INDIA",NA,NA
1340791360924872704,"OLD MYSTIC, CT USA",NA,NA
1340753885938511872,"NORTHERN HEMISPHERE",NA,NA
1340695047851958272,"ICELAND",NA,NA
1340651624159539200,"INDIA",NA,NA
1340618543205781504,"INDIA",NA,NA
1340548047512723456,"الرياض - جدة - الأحساء",NA,NA
1340487540642435072,"SRI LANKA",NA,NA
1342519473090293760,"CYPRUS",NA,NA
1342508913992880128,"US 🍎🦞🇺🇸🇫🇷👩🏾‍💻📊⛵️♻️🌊",NA,NA
1342400506015211520,"ÜT: -26.532499,28.376949",NA,NA
1342236913768529920,"SERBIA",NA,NA
1342227972649054208,"DIVINE SPIRIT",NA,NA
1.342216219232e+18,"UNITED STATES",NA,NA
1342181429250322432,"EGYPT",NA,NA
1342133284172492800,"新潟市",NA,NA
1342080774552563712,"НЕМАЊИНА 11, БЕОГРАД",NA,NA
1342046635828908032,"UAE",NA,NA
1342014823882780672,"M A R S",NA,NA
1341985846615007232,"UAE",NA,NA
1341943969857503232,"SRI LANKA",NA,NA
1341903645445652480,"NYC",NA,NA
1341886609625653248,"IRELAND",NA,NA
1341821887798775808,"FRANCE",NA,NA
1341788736187723776,"FRANCE",NA,NA
1341785111323422720,"UNITED STATES",NA,NA
1341735836606476288,"2 SAMUEL 22:33",NA,NA
1341711587569061888,"MALAYSIA",NA,NA
1341709540392394752,"EUROPE",NA,NA
1341700511154675712,"MALAYSIA",NA,NA
1341696566344568832,"MALAYSIA",NA,NA
1341695940558802944,"CARRIBEAN,SELLING ICE CREAM",NA,NA
1341674914428948480,"UAE",NA,NA
1341669308280266752,"LONDRA, GRAN BRETAGNA",NA,NA
1341668843970805760,"UAE",NA,NA
1341634800852058112,"SRI LANKA",NA,NA
1341555427910270976,"NEW JERSEY, USA",NA,NA
1341502807149604864,"US 🍎🦞🇺🇸🇫🇷👩🏾‍💻📊⛵️♻️🌊",NA,NA
1341481637377421312,"COVID HELL, AL",NA,NA
1341452097196322816,"UAE",NA,NA
1341446218208129024,"INDIA/MALAYSIA",NA,NA
1341444344494968832,"INDIA",NA,NA
1341442008653676544,"ISRAEL",NA,NA
1341414426713460736,"ISRAEL",NA,NA
1341391076402216960,"UNITED STATES",NA,NA
1341389415495725056,"BELGIUM",NA,NA
1341386638929358848,"CYPRUS",NA,NA
1341368640613068800,"SWITZERLAND",NA,NA
1341360212666507264,"INDIA",NA,NA
1341306611130765312,"INDIA",NA,NA
1341304891650793472,"INDIA",NA,NA
1341289705703391232,"AUSTRIA",NA,NA
1341285560162213888,"MALAYSIA",NA,NA
1341248444044734464,"INDIA",NA,NA
1341232274637869056,"MALAYSIA",NA,NA
1341231012743794688,"INDIA",NA,NA
1341229817769943040,"UNIT",NA,NA
1341222806986629120,"SRI LANKA",NA,NA
1341221277034430464,"INDIA",NA,NA
1341211858351632384,"INDIA",NA,NA
1341187072065859584,"MALAYSIA",NA,NA
1341182344158457856,"UK 🇬🇧",NA,NA
1341180964421169152,"51.579117,0.179467",NA,NA
1341137685575065600,"UNITED STATES",NA,NA
1341126168767049728,"NORTHERN IRELAND",NA,NA
1341125861022584832,"SWITZERLAND",NA,NA
1341121270864351232,"IN THE NOW",NA,NA
1341118682047627264,"SWITZERLAND",NA,NA
1341110152984981504,"CYPRUS",NA,NA
1341105910073225216,"BELGIUM",NA,NA
1.341096990655e+18,"DEUTSCHLAND",NA,NA
1341087391319126016,"SRI LANKA",NA,NA
1341079532774821888,"DENMARK",NA,NA
1341070426949107712,"PHILIPPINES",NA,NA
1344606444180668416,"UNITED STATES",NA,NA
1342899826506153984,"UNITED STATES",NA,NA
1342882141894553600,"SAINT LOUIS, MO, USA",NA,NA
1342865699442749440,"UAE",NA,NA
1342839475655897088,"GUYANA",NA,NA
1342802157758603264,"CYPRUS",NA,NA
1342797785486127104,"NOIDA, INDIA",NA,NA
1342767954874785792,"CYPRUS",NA,NA
1342761991367233536,"THE NETHERLANDS",NA,NA
1344241074529656832,"INDIA",NA,NA
1343491329976840192,"GAUTENG",NA,NA
1343222274984439808,"𝓑𝓮𝓪𝓾𝓷𝓮",NA,NA
1343219051238215680,"سیارہ زمین",NA,NA
1.343213387594e+18,"UK",NA,NA
