"id","user_location","user_city","user_country"
1337858199140118528,"YOUR BED",NA,NA
1337761915087560704,"NOT TODAY",NA,NA
1337734069816348672,"دبي, الامارات العربية المتحدة",NA,NA
1337733927885303808,"USA🇺🇸",NA,NA
1337732996380696576,"USA🇺🇸",NA,NA
1338612922600333312,"LI, NYC, NJ, PA, NE, USA",NA,NA
1338572466898100224,"NEW JERSEY, USA",NA,NA
1338565402381537280,"LA | OC",NA,NA
1338491398379753472,"ALERT,NUNAVUT",NA,NA
1338313134092689408,"USA",NA,NA
1338275138895278080,"SATURNALIA TOWN, USA",NA,NA
1338254776384024576,"HRVA",NA,NA
1338166530413096960,"OKOLONA, KY",NA,NA
1338105475447939072,"THE WORLD",NA,NA
1337996151828537344,"91/93MILLION MILES FROM THE 🌞",NA,NA
1337967890578993152,"NYC",NA,NA
1337967795364048896,"NYC",NA,NA
1337967722387353600,"NYC",NA,NA
1339087665958891520,"STANDING IN LINE TO VOTE",NA,NA
1339040975386251264,"ÜT: 10.466333,-66.865167",NA,NA
1338950799590875136,"TORFAEN",NA,NA
1338923664033648640,"USA",NA,NA
1338918931080351744,"BKLN | PHL | YYZ | SHJ | HYD",NA,NA
1338834223734677504,"HERE AND NOW",NA,NA
1338726722963828736,"US - IL - ID",NA,NA
1338663503339597824,"سیارہ زمین",NA,NA
1338663479608225792,"سیارہ زمین",NA,NA
1341717209257816064,"NY",NA,NA
1339349978574163968,"UK",NA,NA
1339328330936422400,"SALISH SEA, B.C.",NA,NA
1339316643470651392,"NEW JERSEY",NA,NA
1339293505345228800,"THE DEEP SOUTH",NA,NA
1339290048882122752,"MOMO SARANGHE JIHYO STEP ON ME",NA,NA
1339205808609849344,"NEVER LAND",NA,NA
1339203152864796672,"CONNECTICUT, USA",NA,NA
1339182445598568448,"EUROPE",NA,NA
1339145904650133504,"UK",NA,NA
1339124507802365952,"THE LAND  GOVDUNLEAVY FORGOT.",NA,NA
1339750467702829056,"EWR BUT I'D RATHER BE IN OGG",NA,NA
1339739099205230592,"SOUTHERN CA",NA,NA
1339639562163924992,"US 🍎🦞🇺🇸🇫🇷👩🏾‍💻📊⛵️♻️🌊",NA,NA
1339628731774754816,"KÖLN, DEUTSCHLAND",NA,NA
1339441524745138176,"USA",NA,NA
1340314215819726848,"BERKSHIRE",NA,NA
1340217437569114112,"WHEREVER I GO, THERE I AM.",NA,NA
1340051308368289792,"USA",NA,NA
1340034542405443584,"EVERYWHERE",NA,NA
1339990007998758912,"CONNECTICUT, USA",NA,NA
1339950066442805248,"KATONAH, NY",NA,NA
1339947759760191488,"ليس مهم",NA,NA
1339939473518448640,"USA",NA,NA
1340458612095938560,"USA",NA,NA
1340385843404361728,"WORLD 📢",NA,NA
1340376947575189504,"الرياض - جدة - الأحساء",NA,NA
1340352405846810624,"MINNESOTA, USA",NA,NA
1340333722185457664,"OMNIVECTOROUS",NA,NA
1341497724722667520,"EUROPE,NL",NA,NA
1341039390991257600,"REGGIO NELL'EMILIA, EMILIA ROM",NA,NA
1341004240798531584,"UNAMA’KI",NA,NA
1340986901852024832,"EUROPE",NA,NA
1340791360924872704,"OLD MYSTIC, CT USA",NA,NA
1340753885938511872,"NORTHERN HEMISPHERE",NA,NA
1340548047512723456,"الرياض - جدة - الأحساء",NA,NA
1340547819153715200,"KITA NIHON",NA,NA
1340530727956393984,"HOME, HOME FFS",NA,NA
1340507811898413056,"HARLINGEN, TX",NA,NA
1340504168746917888,"NORTH CAROLINA, USA",NA,NA
1.340480662785e+18,"SAN FRANCISCO, CA",NA,NA
1343870180292702208,"TEL AVIV, STARTUP NATION",NA,NA
1343825523286421504,"ROMA, LAZIO",NA,NA
1342615376673333248,"SOUTH KINGSTOWN, RI",NA,NA
1342586642360631296,"PARIS",NA,NA
1342553286931587072,"NEW YORK, USA",NA,NA
1342549376988815360,"RIYADH",NA,NA
1342534846405632000,"AL KHOBAR",NA,NA
1342524945666994176,"NEW YORK, NY",NA,NA
1342508913992880128,"US 🍎🦞🇺🇸🇫🇷👩🏾‍💻📊⛵️♻️🌊",NA,NA
1342507898362990592,"DUBAI MARINA, DUBAI",NA,NA
1342481284912865280,"JEDDAH",NA,NA
1342457899050815488,"NEW YORK",NA,NA
1342432131574849536,"PISA, TOSCANA",NA,NA
1342430964035821568,"ANTWERPEN, BELGIË",NA,NA
1.342417963476e+18,"KSCKD, C2 RIYADH",NA,NA
1342400506015211520,"ÜT: -26.532499,28.376949",NA,NA
1342368232297156608,"CHENNAI",NA,NA
1342356271278657536,"MUMBAI",NA,NA
1342336936166502400,"DUBAI, UAE",NA,NA
1342332035130507264,"TUCSON, AZ",NA,NA
1342227972649054208,"DIVINE SPIRIT",NA,NA
1342216116559622144,"DUBAI, UAE",NA,NA
1342213784107184128,"SANTA BARBARA, CA",NA,NA
1342207268352380928,"NARNIA",NA,NA
1342180758815911936,"NORWICH, ENGLAND",NA,NA
1342165471303512064,"TORONTO, ON",NA,NA
1342162168800817152,"NOTTINGHAM",NA,NA
1342155332525699072,"UAE, SHARJAH",NA,NA
1342155330147536896,"BALTIMORE",NA,NA
1342151078276698112,"NEW YORK",NA,NA
1342144311933235200,"NATIONAL CAPITAL & NB",NA,NA
1342140611902640128,"IDAHO, USA",NA,NA
1342137969839386624,"DUBAI MARINA, DUBAI",NA,NA
1342136091902668800,"SPRING, TX",NA,NA
1342136002954072064,"SPRING, TX",NA,NA
1342135762989555712,"SPRING, TX",NA,NA
1342135520508444672,"SPRING, TX",NA,NA
1342135296524230656,"SPRING, TX",NA,NA
1342134757388406784,"DUBAI",NA,NA
1342133881156329472,"GLOBAL",NA,NA
