"id","user_location","user_city","user_country","user_state"
1337765770420506624,"ROME, ITALY","ROME","ITALY",NA
1337744008500703232,"CRANBURY, NJ","BURY","UNITED KINGDOM",NA
1337742598153383936,"CORK, IRELAND","CORK","IRELAND",NA
1338492425921122304,"AHMEDABAD","ABA","NIGERIA",NA
1338477015775780864,"LAND OF HOPE AND DREAMS","HOPE","UNITED STATES",NA
1338476299216695296,"AL KHOBAR","BAR","MONTENEGRO",NA
1338452094731182080,"KASHMIR","KAS","TURKEY",NA
1338414601520566272,"ASIA","AS","CZECHIA",NA
1338348925892358144,"TROY, MICHIGAN;  SERIAL ✈️","TROY","UNITED STATES","MICHIGAN"
1338344185829584896,"POLLACHI","LAC","ALBANIA",NA
1338270320512339968,"HELLAS","AS","CZECHIA",NA
1338153248474193920,"WORLDWIDE 🌏","IDE","JAPAN",NA
1338138722244542464,"WORLDWIDE","IDE","JAPAN",NA
1338118234441039872,"MAVELIKKARA, ALAPPUZHA, KERALA","KARA","TOGO",NA
1337949315508166656,"@DATOP, EARTH SKY MOON","MOON","UNITED STATES",NA
1337914635643727872,"@DATOP, EARTH SKY MOON","MOON","UNITED STATES",NA
1337871594102923264,"@DATOP, EARTH SKY MOON","MOON","UNITED STATES",NA
1338926247401971712,"NORTH TYNESIDE","SID","SERBIA",NA
1338919705709584384,"SOMEWHERE IN THIS TWITTERVERSE","OME","JAPAN",NA
1338913041509912576,"NATIONAL CAPITAL & NB","PITA","GUINEA",NA
1338870503797305344,"WORLDWIDE","IDE","JAPAN",NA
1338839502001987584,"KENT, UK","KENT","UNITED STATES",NA
1339128145019015168,"NORTH TYNESIDE","SID","SERBIA",NA
1339127662866927616,"KITA NIHON","KITA","MALI",NA
1339849312986083328,"NORTH TYNESIDE","SID","SERBIA",NA
1339712597533192192,"QUAHOG","HO","GHANA",NA
1339586998793691136,"WALES","ALES","FRANCE",NA
1340148839240650752,"BROWN U., SCHOOL OF MEDICINE","HO","GHANA",NA
1340084648697729024,"VENTURA, CA","TURA","HUNGARY",NA
1340386137882456064,"1 STEP BEHIND CARMEN SANDIEGO","SAN","MALI",NA
1340370069856153600,"HELLAS","AS","CZECHIA",NA
1340361490306654208,"NATIONAL CAPITAL & NB","PITA","GUINEA",NA
1340780114418798592,"BOSNA I HERCEGOVINA","INA","JAPAN",NA
1340570695902879744,"ROME, ITALY","ROME","ITALY",NA
1340547819153715200,"KITA NIHON","KITA","MALI",NA
1340530727956393984,"HOME, HOME FFS","OME","JAPAN",NA
1343825523286421504,"ROMA, LAZIO","ROMA","UNITED STATES",NA
1342534846405632000,"AL KHOBAR","BAR","MONTENEGRO",NA
1342432131574849536,"PISA, TOSCANA","PISA","ITALY",NA
1342144311933235200,"NATIONAL CAPITAL & NB","PITA","GUINEA",NA
1341950378879844352,"KITA NIHON","KITA","MALI",NA
1341903821199577088,"CARDIFF, WALES","ALES","FRANCE",NA
1341531321936572416,"@DATOP, EARTH SKY MOON","MOON","UNITED STATES",NA
1341435052249366528,"KASHMIR","KAS","TURKEY",NA
1341424832576143360,"DOHA QATAR","DOHA","QATAR",NA
1341373544660406272,"NORTH TYNESIDE","SID","SERBIA",NA
1341372289506566144,"NORTH TYNESIDE","SID","SERBIA",NA
1341370373292625920,"CAANADA","NADA","CHINA",NA
1341324241040510976,"AG. IOANNIS PERISTERON, CORFU","NIS","SERBIA",NA
1341226353325174784,"SCHWEIZ","WEIZ","AUSTRIA",NA
1341176947062272000,"ROVING THE WESTERN WORLD","WE","NEW CALEDONIA",NA
1341114054568538112,"NATIONAL CAPITAL & NB","PITA","GUINEA",NA
1341104620337295360,"NATIONAL CAPITAL & NB","PITA","GUINEA",NA
1341091952759074816,"DOHA, QATAR","DOHA","QATAR",NA
1341072203857715200,"ROME, ITALY","ROME","ITALY",NA
1342932432648069120,"NEVER WALK ALONE","WA","GHANA",NA
1342816308149293056,"WARSZAWA, POLSKA","WA","GHANA",NA
1343243935427211264,"YURP COAST","AS","CZECHIA",NA
1343228142354358272,"BRYN MAWR, PA","BRYN","UNITED KINGDOM",NA
1343213563570171904,"NORTHBOUND.","BO","SIERRA LEONE",NA
1343163164377174016,"DOHA, QATAR","DOHA","QATAR",NA
1343153697975541760,"PUNE","PUNE","INDIA",NA
1342990731850481664,"SCHWEIZ","WEIZ","AUSTRIA",NA
1343264340909166592,"RIBEIRÃO PRETO, BRASIL","AS","CZECHIA",NA
1343975996832276480,"CARIBBEAN","IBB","YEMEN",NA
1343854531197751296,"KNOKKE,A SPOT IN THIS UNIVERSE","IVER","UNITED KINGDOM",NA
1343818882893672448,"WORLDWIDE","IDE","JAPAN",NA
1343794986568085504,"WORLDWIDE","IDE","JAPAN",NA
1344388195044225024,"MERTHYR TYDFIL, WALES","ALES","FRANCE",NA
1344347617669611520,"ICH LEB HINTER'M POKEMON","KEM","RUSSIA",NA
